0001.MY,SCOMNET
0002.MY,KOTRA
0005.MY,UCREST
0006.MY,PINEAPP
0007.MY,PUC
0008.MY,WILLOW
0010.MY,IRIS
0011.MY,BTECH
0012.MY,3A
0017.MY,M3TECH
0018.MY,LAMBO
0020.MY,NETX
0021.MY,GHLSYS
0022.MY,PARLO
0023.MY,IFCAMSC
0024.MY,JAG
0025.MY,YBS
0026.MY,NOVAMSC
0028.MY,SCOPE
0029.MY,DIGISTA
0032.MY,REDTONE
0034.MY,MMAG
0035.MY,OPCOM
0036.MY,KGROUP
0037.MY,RGB
0038.MY,ARTRONIQ
0039.MY,GFM
0040.MY,OPENSYS
0041.MY,HONGSENG
0043.MY,MTRONIC
0045.MY,G Neptune Bhd
0048.MY,ANCOMLB
0049.MY,OCNCASH
0050.MY,SYSTECH
0051.MY,CUSCAPI
0053.MY,OSKVI
0054.MY,KARYON
0055.MY,SERSOL
0056.MY,GRANFLO
0058.MY,JCBNEXT
0059.MY,ECOHLDS
0060.MY,VC
0060PA.MY,VC-PA
0064.MY,EFFICEN
0065.MY,EFORCE
0066.MY,VSOLAR
0068.MY,ASDION
0069.MY,VIVOCOM
0070.MY,MQTECH
0072.MY,AT
0074.MY,GOCEAN
0075.MY,LYC
0078.MY,GDEX
0079.MY,ORION
0080.MY,STRAITS
0081.MY,MEGASUN
0082.MY,GPACKET
0083.MY,NOTION
0084.MY,TECFAST
0085.MY,MLAB
0086.MY,YGL
0089.MY,TEXCYCL
0090.MY,ELSOFT
0091.MY,DAYA
0092.MY,MTOUCHE
0093.MY,SOLUTN
0094.MY,INIX
0095.MY,MAG
0096.MY,NEXGRAM
0097.MY,VITROX
0098.MY,BAHVEST
0099.MY,SCICOM
0100.MY,ESCERAM
0101.MY,TMCLIFE
0102.MY,CONNECT
0103.MY,MNC
0104.MY,GENETEC
0105.MY,ASIAPLY
0106.MY,REXIT
0107.MY,EDUSPEC
0108.MY,N2N
0109.MY,SCBUILD
0111.MY,K1
0112.MY,MIKROMB
0113.MY,MMSV
0116.MY,FOCUS
0116PA.MY,FOCUS-PA
0117.MY,SMRT
0118.MY,TRIVE
0119.MY,APPASIA
0120.MY,VIS
0122.MY,AIM
0123.MY,PRIVA
0126.MY,MICROLN
0127.MY,JHM
0128.MY,FRONTKN
0129.MY,SRIDGE
0131.MY,DGSB
0132.MY,TDEX
0133.MY,SANICHI
0136.MY,GREENYB
0138.MY,MYEG
0140.MY,MACPIE
0143.MY,KEYASIC
0145.MY,TFP
0146.MY,JFTECH
0147.MY,INNITY
0148.MY,SUNZEN
0149.MY,FIBON
0150.MY,FINTEC
0150PA.MY,FINTEC-PA
0151.MY,KGB
0152.MY,DGB
0153.MY,OVERSEA
0154.MY,EAH
0155.MY,MGRC
0156.MY,MPAY
0157.MY,FOCUSP
0159.MY,AMEDIA
0160.MY,HHHCORP
0161.MY,SCH
0162.MY,WIDAD
0163.MY,CAREPLS
0165.MY,XOX
0165PA.MY,XOX Bhd
0166.MY,INARI
0167.MY,MCLEAN
0168.MY,BOILERM
0169.MY,SMTRACK
0170.MY,KANGER
0171.MY,PLABS
0172.MY,OCK
0173.MY,REV
0174.MY,IDMENSN
0175.MY,HHGROUP
0176.MY,KRONO
0177.MY,PASUKGB
0178.MY,SEDANIA
0179.MY,BIOHLDG
0179PA.MY,Bioalpha Holdings Bhd
0180.MY,KTC
0181.MY,AEMULUS
0182.MY,LKL
0183.MY,SALUTE
0185.MY,HSSEB
0186.MY,PTRANS
0187.MY,BCMALL
0188.MY,HLT
0189.MY,MATANG
0190.MY,ESAFE
0191.MY,CABNET
0192.MY,INTA
0193.MY,KAB
0195.MY,BINACOM
0196.MY,QES
0197.MY,WEGMANS
0198.MY,GDB
0199.MY,TRIMODE
0200.MY,REVENUE
0201.MY,NOVA
0202.MY,RGTECH
0203.MY,SMETRIC
0205.MY,DPIH
0206.MY,NADIBHD
0207.MY,MESTRON
0208.MY,GREATEC
0209.MY,ISTONE
0210.MY,KHJB
0211.MY,TASHIN
0212.MY,SDS
0213.MY,MTAG
0215.MY,SLVEST
0216.MY,SPRING
0217.MY,PWRWELL
0218.MY,ACO
0219.MY,RL
0220.MY,OVH
0221.MY,TCS
0222.MY,OPTIMAX
0223.MY,SAMAIDEN
0225.MY,SCGBHD
0226.MY,ANEKA
0227.MY,EFRAME
0228.MY,HPPHB
0229.MY,MOBILIA
0230.MY,TELADAN
0231.MY,FLEXI
0232.MY,VOLCANO
0233.MY,Pekat Group Bhd
0235.MY,Nestcon Bhd
0236.MY,Ramssol Group Bhd
0237.MY,Haily Group Bhd
0238.MY,Cekd Bhd
0239.MY,Ecomate Holdings Bhd
0240.MY,Coraza Integrated Technology Bhd
0241.MY,Siab Holdings Bhd
0242.MY,Pappajack Bhd
0243.MY,Cengild Medical Bhd
0245.MY,MN Holdings Bhd
0246.MY,Cnergenz Bhd
0247.MY,Unitrade Industries Bhd
0248.MY,Yew Lee Pacific Group Bhd
0249.MY,LGMS Bhd
0250.MY,YX Precious Metals Bhd
0251.MY,SFP Tech Holdings Bhd
0252.MY,Orgabio Holdings Bhd
0253.MY,Infoline Tec Group Bhd
